,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes
Basin-Fair Grounds 1-1,826,624,102,45,14,5,7,19,0,10,548,178,26,46,2,2,24
Burlington-Fire Hall 2-1,270,209,13,8,4,2,2,26,0,6,217,28,4,12,0,2,7
Otto-Burlington Fire Hall 3-1,92,69,2,1,3,0,0,13,0,4,68,4,5,10,1,0,4
Emblem-Greybull Irrigation District Office 5-1,63,51,3,3,1,0,1,1,1,2,49,6,4,2,0,0,2
Hayattville-Community Center 6-1,102,82,13,2,1,0,0,2,0,2,82,13,2,4,0,0,1
Manderson-Town Hall 8-1,157,132,15,3,0,0,1,5,0,1,124,18,5,9,0,0,1
Greybull-Elks Lodge 11-1,1098,779,185,62,10,4,10,23,1,24,706,273,35,60,4,3,17
Shell-Community Hall 16-1,272,208,38,14,2,0,2,6,0,2,194,58,6,9,2,1,2
Lovell-Community Center 20-1,1500,"1,114",155,65,56,4,6,84,0,16,"1,071",216,39,134,2,3,35
Cowley-Log Gym 22-1,478,379,25,16,16,0,2,32,0,8,361,51,16,41,2,0,7
Byron-Town Complex 23-1,339,259,29,15,5,5,0,16,0,10,246,48,10,23,0,1,11
Deaver-Community Hall 25-1,112,82,14,4,0,1,2,8,0,1,73,25,2,9,0,0,3
Frannie-Community Center 26-1,97,79,10,4,0,0,2,1,0,1,72,16,3,5,0,0,1
Total,"5,406","4,067",604,242,112,21,35,236,2,87,"3,811",934,157,364,13,12,115
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
