,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes
Cam-Plex Wyoming Center 1-1,395,314,44,20,1,1,0,10,1,4,268,64,23,20,4,0,16
Cam-Plex Wyoming Center 1-3,405,292,71,27,1,0,5,4,0,5,254,96,20,18,2,0,15
Cam-Plex Wyoming Center 1-5,726,612,70,33,1,0,4,3,1,2,518,115,28,33,0,1,31
Cam-Plex Wyoming Center 1-7,759,636,53,29,9,2,3,16,2,9,553,99,20,52,1,4,30
Cam-Plex Wyoming Center 1-9,750,638,63,27,1,1,6,8,1,5,552,102,36,35,4,2,19
Cam-Plex Wyoming Center 1-11,294,251,29,6,1,1,1,3,1,1,213,52,12,12,0,0,5
Cam-Plex Wyoming Center 1-12,781,646,70,42,6,1,1,7,1,7,579,113,24,46,2,1,16
Cam-Plex Wyoming Center 1-14,272,210,37,13,2,0,2,5,0,3,176,56,14,17,2,0,7
Cam-Plex Wyoming Center 1-15,"1,025",812,121,43,6,4,3,22,0,14,744,168,32,39,2,1,39
Cam-Plex Wyoming Center 1-16,886,758,68,28,2,1,2,15,2,10,676,106,39,30,7,0,28
Cam-Plex Wyoming Center 1-17,644,566,34,22,3,4,0,12,1,2,491,61,27,33,9,1,22
Cam-Plex Wyoming Center 1-18,576,474,58,27,3,0,5,9,0,0,418,91,21,27,1,0,18
Cam-Plex Wyoming Center 1-19,727,599,73,26,1,1,3,15,1,8,529,112,28,26,1,1,30
Cam-Plex Wyoming Center 1-20,253,223,12,6,1,0,0,9,1,1,192,34,9,7,0,1,10
Cam-Plex Wyoming Center 1-21,350,310,22,10,2,2,1,3,0,0,254,39,14,27,3,0,13
Cam-Plex Wyoming Center 1-22,319,273,17,17,4,0,0,5,2,1,233,38,14,21,4,1,8
Cam-Plex Wyoming Center 1-23,869,752,48,43,3,0,2,17,0,4,659,105,33,39,1,0,32
Cam-Plex Wyoming Center 1-24,440,378,34,13,2,0,1,8,0,4,335,48,14,27,0,0,16
Cam-Plex Wyoming Center 1-25,658,545,69,22,1,2,4,7,0,8,512,91,15,16,3,0,21
Cam-Plex Wyoming Center 1-26,324,278,24,12,1,2,1,6,0,0,245,43,14,8,2,2,10
Cam-Plex Wyoming Center 2-1,374,346,9,13,0,1,0,3,1,1,271,31,17,21,1,2,31
Cam-Plex Wyoming Center 3-1,870,788,43,20,5,0,4,5,1,4,671,78,29,52,3,3,34
Rozet School 4-1,833,756,43,14,8,1,3,6,1,1,627,84,41,46,4,0,31
Cam-Plex Wyoming Center 5-1,771,677,33,28,5,0,2,15,2,9,595,68,26,49,3,3,27
Rawhide School 6-1,251,219,13,8,2,0,1,4,0,4,179,24,10,26,0,0,12
Recluse Community Hall 7-1,177,162,13,0,0,0,0,1,0,1,131,21,4,8,1,1,11
Little Powder School 8-1,120,110,4,2,1,0,0,3,0,0,102,8,3,5,0,0,2
Cam-Plex Wyoming Center 9-1,110,99,3,6,1,0,0,0,0,1,87,10,5,2,0,0,6
4-J School 13-1,210,193,5,10,0,0,0,1,0,1,174,14,4,3,3,0,12
Wright Town Hall 14-1,674,608,29,12,5,0,6,7,0,7,506,78,29,44,1,0,16
Wright Town Hall 14-2,350,338,5,4,1,0,0,2,0,0,282,24,14,17,2,0,11
Cam-Plex Wyoming Center 18-1,481,435,20,10,2,1,2,10,1,0,362,53,22,30,0,0,14
Cam-Plex Wyoming Center 19-1,347,314,13,13,3,0,0,2,0,2,265,30,13,22,3,0,14
