,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes
Jeffrey Center 1-1,489,245,188,24,9,2,3,8,5,5,215,228,10,20,3,0,13
Jeffrey Center 1-2,256,185,48,14,0,0,2,5,0,2,149,84,8,10,0,0,5
Jeffrey Center 2-1,617,411,129,38,2,5,4,19,1,8,350,198,29,21,1,0,18
Jeffrey Center 2-2,672,436,135,66,3,2,7,10,1,12,379,222,29,26,0,1,15
Jeffrey Center 3-1,500,288,135,46,3,0,6,18,0,4,247,200,28,9,1,1,14
Jeffrey Center 3-2,629,383,147,38,13,2,8,26,1,11,312,257,21,21,4,1,13
Jeffrey Center 4-1,15,12,3,0,0,0,0,0,0,0,11,4,0,0,0,0,0
Sinclair Town Hall 5-1,224,164,30,17,2,1,2,3,0,5,143,54,13,9,0,0,5
Hanna Town Hall 6-1,23,20,0,0,3,0,0,0,0,0,14,4,1,2,0,0,2
Medicine Bow Senior Center 7-1,158,133,11,6,2,0,1,5,0,0,105,32,9,6,0,0,6
Hanna Town Hall 8-1,335,247,51,14,3,1,1,13,0,5,198,86,12,25,0,3,11
Elk Mountain Senior Center 9-1,161,123,12,8,7,0,1,7,0,3,104,32,6,18,0,0,1
McFadden Fire Station 10-1,51,46,4,0,0,0,0,1,0,0,38,6,2,1,0,0,4
Platte Valley Community Center 11-1,916,596,211,63,7,3,7,20,0,9,469,340,49,41,2,1,14
Platte Valley Community Center 11-2,411,325,56,12,0,2,1,10,0,5,257,107,12,17,2,0,16
Encampment Opera House 12-1,275,200,46,9,1,2,4,8,0,5,168,85,11,3,1,1,6
Encampment Opera House13-1,260,188,47,10,1,1,1,9,0,3,158,78,6,13,0,0,5
Valley Community Center 14-1,118,93,10,7,2,0,0,6,0,0,92,19,2,5,0,0,0
Valley Community Center 15-1,351,314,16,9,3,0,1,6,0,2,281,41,7,12,0,0,10
Total,"6,461","4,409","1,279",381,61,21,49,174,8,79,"3,690","2,077",255,259,14,8,158
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
