,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes,
"Lander, Bob Carey Memorial FH 1-1",745,455,194,47,6,3,11,19,1,9,409,278,16,18,2,0,22,
"Lander, Bob Carey Memorial FH 1-2",360,200,122,21,1,1,5,5,0,5,181,153,10,6,0,1,9,
"Lander, Bob Carey Memorial FH 1-3",642,310,261,33,2,5,9,16,3,3,270,323,19,18,0,0,12, 
"Lander, Bob Carey Memorial FH 1-4",483,233,177,29,9,2,8,18,0,7,224,219,15,14,2,1,8,
"Lander, Bob Carey Memorial FH 1-5",736,401,241,48,4,2,7,19,2,12,366,306,24,21,2,2,15,
"Lander, Bob Carey Memorial FH 1-6",597,268,249,43,6,4,9,11,1,6,264,300,12,9,1,1,10,
Hudson Town Hall 2-1,288,214,45,6,2,4,4,9,2,2,183,77,11,4,0,1,12,
"Riverton, Fremont Ctr.- Fairgrounds 3-1",524,395,72,24,10,1,3,11,2,6,344,123,22,25,1,1,8,
"Riverton, Fremont Ctr- Fairgrounds 3-2",553,391,89,37,5,2,9,17,1,2,339,150,23,26,1,0,14,
"Riverton, Fremont Ctr.- Fairgrounds 3-3",832,597,139,41,5,3,14,23,0,10,533,206,42,25,4,2,20,
"Riverton, Fremont Ctr.- Fairgrounds 3-4",648,447,131,34,6,0,8,18,0,4,417,168,25,23,4,0,11,
"Riverton, Fremont Ctr.- Fairgrounds 3-5",768,522,166,30,6,2,3,29,1,9,450,238,34,25,1,2,18,
"Riverton, Fremont Ctr.- Fairgrounds 3-6",857,609,161,48,4,2,2,22,0,9,562,224,34,18,5,1,13,
Ft. Washakie School Admin. 4-1,511,103,311,11,4,10,34,26,1,11,144,314,17,11,0,0,25,
"Milford, Bob Carey Memorial FH 5-1",1441,880,376,92,10,3,16,39,1,24,787,513,42,57,2,1,39,
"Beebe, Bob Carey Memorial FH 6-1",443,305,92,21,3,2,4,9,0,7,282,125,19,8,0,0,9,
"Dubois, Headwaters Comm.Center  7-1",1099,812,189,42,5,7,9,27,0,8,743,234,45,37,9,2,29,
Arapahoe School 8-1,509,168,259,16,0,2,18,31,3,12,173,267,16,12,0,0,41,
Missouri Valley Fire Hall 9-1,371,330,18,11,0,0,1,8,0,3,291,44,16,11,1,0,8,
"Defelder, Heritage Hall-Fairgrounds 10-1",703,594,73,20,0,0,3,9,1,3,520,119,25,24,4,0,11,
Jeffrey City Fire Hall 12-1,89,77,9,2,1,0,0,0,0,0,65,16,2,5,0,0,1,
"Ethete, WY Indian High School 13-1",614,129,405,9,0,0,27,34,3,7,149,395,19,10,3,0,38,
"Pavillion, Wind River Recreation Ctr. 14-1",788,652,70,24,5,2,5,22,1,7,550,130,47,45,2,1,13,
"Morton, Kinnear Fire Hall 16-1",200,154,29,5,2,0,4,3,1,2,139,34,15,6,0,0,6,
"Luthy, Heritage Hall - Fairgrounds 17-1",317,187,84,13,2,1,7,17,1,5,189,101,7,9,1,0,10,
"Big Bend, Fremont Ctr.- Fairgrounds 18-1",924,787,73,26,6,2,4,19,0,7,700,135,30,36,4,0,19,
"Big Bend, Fremont Ctr.- Fairgrounds 18-2",359,267,55,21,3,0,1,8,0,4,250,88,9,7,0,0,5,
Crowheart Fire Hall 19-1,129,107,20,0,0,0,1,1,0,0,91,27,3,2,1,0,5,
Shoshoni Senior Citizens Center 20-1,308,262,27,7,3,0,3,4,1,1,218,52,12,13,1,0,12,
"Reclamation, Heritage Hall - Fair 21-1",289,230,39,8,0,0,2,5,1,4,190,57,18,12,1,0,11,
Lysite Fire Hall 22-1,43,41,0,1,0,0,1,0,0,0,39,3,0,0,0,0,1,
Atlantic City Fire Hall 24-1,71,40,24,3,0,0,1,1,0,2,33,31,4,2,0,0,1,
Total,"17,241","11,167","4,200",773,110,60,233,480,27,191,"10,095","5,450",633,539,52,16,456,
,,,,,,,,,,,,,,,,,,
