,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes
Prairie Center School 1-1,49,49,0,0,0,0,0,0,0,0,45,2,1,1,0,0,0
Jay Em 2-1,87,73,7,4,0,0,0,2,0,1,65,10,1,6,3,0,2
Lingle Town Hall 8-1,485,407,42,19,4,1,4,4,0,4,375,69,12,19,0,0,10
Fort Laramie Town Hall 9-1,266,193,37,17,5,1,2,3,0,8,177,59,10,10,2,0,8
Torrington Rendezvous Center 10-1,179,115,49,4,3,1,3,1,0,3,107,51,7,6,0,1,7
Torrington Rendezvous Center 10-2,276,193,54,15,0,2,3,6,0,3,185,73,1,12,1,1,3
Torrington Rendezvous Center 10-3,100,71,20,5,0,0,1,3,0,0,64,23,3,8,0,0,2
Torrington Rendezvous Center 10-4,541,366,121,17,4,4,3,14,1,11,338,156,12,16,0,4,15
Torrington Rendezvous Center 10-5,470,337,75,30,4,0,4,13,0,7,323,113,13,11,1,0,9
Torrington Rendezvous Center 10-6,382,247,97,22,5,1,2,4,2,2,244,106,12,8,3,4,5
Torrington Rendezvous Center 10-7,349,220,76,22,10,0,5,7,2,7,210,94,9,21,2,4,9
Torrington Rendezvous Center 10-8,701,533,96,32,8,4,6,11,0,11,520,134,12,18,2,5,10
Torrington Rendezvous Center 10-9,600,462,100,10,5,1,5,7,0,10,427,133,6,14,2,4,14
Torrington Rendezvous Center 10-10,188,124,47,4,3,3,4,0,1,2,118,56,2,11,0,0,1
Torrington Rendezvous Center 10-11,86,59,16,5,1,0,2,0,0,3,52,28,2,2,0,0,2
Torrington Rendezvous Center 10-12,24,21,3,0,0,0,0,0,0,0,21,2,1,0,0,0,0
Veteran Legion Post #56 13-1,159,128,19,4,5,0,0,3,0,0,129,20,1,8,0,1,0
Yoder Community Center 15-1,190,161,21,5,0,0,1,0,0,2,144,33,2,6,2,0,3
Huntley Table Mountain Vineyards 16-1,178,152,12,6,3,0,0,4,0,1,148,20,4,3,0,0,3
Huntley Table Mountain Vineyards 16-2,119,99,9,5,2,0,0,4,0,0,96,11,4,4,0,0,4
Hawk Springs Community Center 17-1,80,72,6,2,0,0,0,0,0,0,64,11,1,3,0,0,1
Hawk Springs Community Center 17-2,26,25,1,0,0,0,0,0,0,0,25,1,0,0,0,0,0
La Grange Memorial Building 18-1,265,239,13,5,5,1,0,0,0,2,224,14,3,14,0,1,9
La Grange Memorial Building 18-3,44,39,1,0,1,0,0,2,0,1,41,2,0,0,0,1,0
Iowa Center Jackson Home 20-1,36,33,2,1,0,0,0,0,0,0,32,2,1,1,0,0,0
Total,"5,880","4,418",924,234,68,19,45,88,6,78,"4,174","1,223",120,202,18,26,117
