,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes,
1 Hot Springs Cnty Fair Bldg. 1-1,857,597,152,52,2,1,15,11,6,21,547,234,30,27,1,2,16,
2 Hot Springs Cnty Fair Bldg. 1-2,675,476,117,38,7,2,11,12,1,11,425,172,29,32,3,1,13,
Hot Springs County Museum 2-4,183,141,20,3,1,1,3,11,0,3,121,41,3,11,0,0,7, 
Armory 3-3,929,725,111,43,11,0,6,17,4,12,632,197,36,39,2,2,21,
Total,"2,644","1,939",400,136,21,4,35,51,11,47,"1,725",644,98,109,6,5,57,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
