,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes
Bomber Mtn. Civic Center  2-14,177,147,22,6,0,0,0,1,0,1,137,31,4,3,0,0,2
Catholic Rec Hall 3-1,426,307,75,23,2,0,1,12,0,6,288,103,14,10,0,1,10
Catholic Rec Hall 3-2,271,191,52,15,2,0,1,3,1,6,172,68,16,6,0,0,9
Catholic Rec Hall 3-3,266,189,51,12,2,0,5,1,3,3,161,72,13,7,0,3,10
Bomber Mtn.Civic Center 3-4,299,224,45,13,0,0,4,6,0,7,209,62,10,10,0,1,7
Bomber Mtn.Civic Center 3-5,157,113,32,4,0,0,0,6,0,2,94,46,7,8,0,2,0
Bomber Mtn. Civic Center 3-6,216,154,37,13,5,0,3,1,0,3,143,49,9,9,1,2,3
Bomber Mtn.Civic Center 3-7,253,191,42,8,0,2,2,4,0,4,180,56,5,8,0,1,3
Catholic Rec Hall 3-8,271,210,45,10,0,0,2,4,0,0,194,46,9,15,0,0,7
Catholic Rec Hall 4-7,767,619,90,27,2,1,7,13,1,7,567,136,14,27,1,3,19
Bomber Mtn. Civic Center  4-8,785,622,104,31,2,4,7,10,0,5,542,157,28,31,3,5,19
Bomber Mtn. Civic Center  5-9,90,72,10,4,0,0,0,4,0,0,72,11,0,5,1,1,0
Harold Jarrard Park 6-10,130,109,14,3,0,1,0,1,0,2,98,21,2,4,0,0,5
Harold Jarrard Park 8-11,227,203,13,2,4,0,1,1,0,3,186,20,4,12,0,1,4
Harold Jarrard Park 9-12,92,82,6,3,0,0,0,0,0,1,77,4,0,9,0,1,1
Bomber Mtn.Civic Center 10-15,45,44,0,0,0,0,0,1,0,0,41,0,0,3,0,0,1
Total,"4,472","3,477",638,174,19,8,33,68,5,50,"3,161",882,135,167,6,21,100
