,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes,,,,,,,,,,,,,,,,,,,,,,
1-1," 1,417 ",793,437,94,11,12,21,39,0,10,758,497,58,48,6,0,50,,,,,,,,,,,,,,,,,,,,,,
1-2, 816 ,394,325,58,2,2,11,15,0,9,377,343,36,24,1,0,35,,,,,,,,,,,,,,,,,,,,,,
1-3, 782 ,355,317,64,2,2,15,25,0,2,323,372,35,26,3,0,23,,,,,,,,,,,,,,,,,,,,,,
1-4, 449 ,187,203,29,3,0,8,15,0,4,180,223,15,14,3,0,14,,,,,,,,,,,,,,,,,,,,,,
1-5, 705 ,339,277,54,1,2,9,12,0,11,325,325,18,13,3,0,21,,,,,,,,,,,,,,,,,,,,,,
1-6, 833 ,349,387,53,2,2,10,21,0,9,322,444,31,14,2,0,20,,,,,,,,,,,,,,,,,,,,,,
1-7, 359 ,180,130,26,5,1,6,7,0,4,170,147,16,10,2,0,14,,,,,,,,,,,,,,,,,,,,,,
1-8, 829 ,390,322,59,5,2,11,33,0,7,353,373,48,29,3,0,23,,,,,,,,,,,,,,,,,,,,,,
1-9, 527 ,275,173,43,3,4,6,19,0,4,249,214,24,21,1,0,18,,,,,,,,,,,,,,,,,,,,,,
1-10, 646 ,331,226,55,7,6,6,13,1,1,311,258,24,31,2,0,20,,,,,,,,,,,,,,,,,,,,,,
2-1, 456 ,264,146,26,0,0,2,13,0,5,232,178,22,12,4,0,8,,,,,,,,,,,,,,,,,,,,,,
2-2, 790 ,449,244,51,4,0,9,19,0,14,431,307,21,14,1,0,16,,,,,,,,,,,,,,,,,,,,,,
2-3, 917 ,506,315,47,6,1,5,25,0,12,502,370,16,7,4,1,17,,,,,,,,,,,,,,,,,,,,,,
2-4, 591 ,344,183,36,1,2,6,14,0,5,331,222,10,13,2,0,13,,,,,,,,,,,,,,,,,,,,,,
2-5, 966 ,536,322,52,9,3,10,21,1,12,519,378,21,27,2,1,18,,,,,,,,,,,,,,,,,,,,,,
2-6," 1,771 ","1,041",517,100,10,2,14,54,0,33,986,654,55,32,7,0,37,,,,,,,,,,,,,,,,,,,,,,
2-7," 1,225 ",672,399,73,12,3,17,31,1,17,603,478,52,41,5,0,46,,,,,,,,,,,,,,,,,,,,,,
2-8, 184 ,92,59,19,5,1,4,2,1,1,94,68,6,7,0,0,9,,,,,,,,,,,,,,,,,,,,,,
2-9, 658 ,370,186,55,9,1,9,23,0,5,374,232,19,15,3,0,15,,,,,,,,,,,,,,,,,,,,,,
2-10, 220 ,140,61,11,1,0,0,5,0,2,138,69,4,4,0,0,5,,,,,,,,,,,,,,,,,,,,,,
2-11, 706 ,409,205,52,4,1,12,17,0,6,360,257,39,37,1,0,12,,,,,,,,,,,,,,,,,,,,,,
2-12, 890 ,501,259,74,9,1,13,18,0,15,488,302,40,28,1,0,31,,,,,,,,,,,,,,,,,,,,,,
