,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes
Industrial Building 1-1,546,319,170,31,4,3,5,9,2,3,269,209,25,34,0,0,9
Natrona County Library 1-2,589,314,197,30,4,1,16,22,2,3,283,243,14,33,1,0,15
Industrial Building 1-3,791,429,248,49,11,4,15,19,2,14,361,355,23,38,0,0,14
Casper College 1-4,958,555,280,68,5,3,15,25,1,6,485,379,25,39,2,1,27
Industrial Building 1-5,557,287,200,37,1,1,9,12,1,9,249,246,26,22,3,0,11
Industrial Building 1-6,1171,788,241,64,6,3,10,44,4,11,677,355,40,72,2,0,25
Senior Citizens' Center 1-7,532,313,129,48,2,2,9,23,2,4,258,185,37,35,2,0,15
Industrial Building 1-9,1093,817,164,54,5,1,8,32,2,10,738,260,30,40,3,0,22
Industrial Building 1-11,657,432,174,18,3,0,5,18,0,7,398,209,10,18,2,0,20
Industrial Building 1-12,344,207,88,24,6,1,7,7,2,2,187,115,20,16,1,0,5
Industrial Building 2-1,845,539,215,48,5,1,14,15,2,6,471,295,28,36,1,1,13
Industrial Building 2-2,702,428,192,46,2,0,10,22,0,2,351,269,27,38,2,1,14
Industrial Building 2-3,619,412,120,46,5,4,13,15,0,4,350,195,31,29,0,0,14
Industrial Building 2-4,578,349,163,31,5,2,5,16,1,6,330,197,20,22,2,1,6
Casper Shrine Club 2-6,1252,873,235,74,14,1,8,28,2,17,794,355,31,38,14,1,19
Industrial Building 2-7,1368,"1,014",224,68,15,1,9,23,3,11,862,374,43,59,5,0,25
Industrial Building 2-8,1396,"1,048",213,68,11,4,6,40,3,3,915,322,45,76,5,3,30
Industrial Building 2-9,589,446,87,35,2,0,1,13,2,3,400,137,23,17,3,2,7
Bethel Baptist Church 2-10,1032,683,213,69,5,5,7,34,2,14,609,324,34,40,2,1,22
Restoration Church 3-2,801,516,192,56,5,3,5,17,2,5,429,260,42,49,1,1,19
Restoration Church 3-3,910,587,217,51,2,3,12,28,2,8,520,311,33,26,7,2,11
Restoration Church 3-4,1181,786,252,79,9,3,14,25,2,11,683,362,45,56,8,2,25
Restoration Church 3-5,792,530,180,33,7,0,2,22,5,13,497,231,22,25,3,0,14
Restoration Church 3-6,838,594,160,36,9,0,7,17,1,14,554,220,20,26,2,0,16
Prince of Peace Lutheran Church 3-8,1465,996,298,81,13,3,10,42,1,21,865,427,39,70,3,4,57
Restoration Church 3-9,624,432,125,34,8,1,5,15,2,2,366,187,23,30,1,0,17
Community Health Center 3-10,2564,"1,852",468,113,15,4,18,62,1,31,"1,757",607,61,68,7,3,61
Evansville Community Center In 4-1,927,663,153,69,3,1,12,19,7,0,558,238,54,49,0,1,27
Evansville Community Center Out 4-2,984,834,85,30,2,2,6,12,3,10,719,150,34,54,3,3,21
Evansville Community Center 5-1,53,37,12,2,1,1,0,0,0,0,31,18,1,1,0,0,2
Midwest Town Hall 7-1,149,114,22,3,2,0,0,6,0,2,100,28,3,11,1,0,6
Edgerton Town Hall 7-2,86,75,6,2,0,1,1,1,0,0,65,13,3,3,0,0,2
Mills Community Center 8-1,1274,927,214,84,4,2,10,21,2,10,824,305,42,72,9,0,22
Mountain View School 8-2,301,238,48,8,0,0,2,4,0,1,194,72,13,15,2,0,5
Wardwell Water & Sewer 8-3,542,425,59,26,7,5,8,11,1,0,382,90,25,33,2,0,10
Christian Church of Casper 8-4,1035,836,118,31,5,3,7,26,2,7,716,198,35,58,3,3,22
Bar Nunn School 8-5,1163,953,93,62,11,2,7,29,1,5,847,192,49,52,1,0,22
Wyoming Game and Fish 9-1,1135,896,154,42,6,1,3,21,2,10,798,251,27,39,2,0,18
Red Creek School 11-1,122,110,4,5,0,0,0,2,0,1,100,13,2,4,0,0,3
Alcova School 11-2,136,109,20,5,0,0,1,1,0,0,103,23,6,3,0,0,1
Fish Hatchery 11-3,288,217,49,6,3,0,1,9,0,3,193,69,2,13,0,2,9
Poison Spider School 11-4,124,109,5,2,2,0,2,2,0,2,94,12,4,13,0,0,1
St. Stephen's Church 12-2,397,280,78,21,0,1,5,8,0,4,264,104,10,10,0,0,9
Bressler Ranch 13-1,100,86,10,0,0,0,0,1,2,1,76,12,4,6,1,0,1
Powder River School 13-2,79,72,2,2,1,1,0,0,0,1,60,3,4,12,0,0,0
Upper Willow Creek 14-1,28,25,0,0,0,0,0,0,1,2,26,2,0,0,0,0,0
Total,"33,717","23,552","6,577","1,791",226,74,310,818,70,299,"20,808","9,422","1,135","1,500",106,32,714
