,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes,
Warren - Rennard's Garage 1-2,62,60,0,0,0,0,0,1,0,1,55,1,1,2,0,0,3,
Hat Creek - Stage Station 3-2,62,57,0,4,0,0,0,0,0,1,48,1,3,6,2,0,2,
Lance Creek Elementary School 4-1,102,98,2,1,0,0,0,1,0,0,86,4,5,4,0,0,3, 
N. Lusk-Niobrara Cnty. Fairgrounds 6-1,350,291,34,14,2,0,3,1,0,5,257,65,4,16,1,0,7,
S. Lusk-Niobrara Cnty. Fairgrounds 6-2,607,473,71,30,4,3,4,13,1,8,404,132,19,36,1,0,15,
Manville Town Hall 7-1,148,137,8,0,1,0,0,1,0,1,119,14,5,8,0,0,2,
Total,"1,331","1,116",115,49,7,3,7,17,1,16,969,217,37,72,4,0,32,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,`,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
