,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes
Clark/Pioneer Recreation Center 1-1,371,300,44,14,5,1,3,3,0,1,263,55,11,26,3,0,13
Cody Auditorium 2-1,1034,801,146,34,12,2,15,15,2,7,659,227,32,77,5,1,33
Cody Auditorium 2-2,883,612,165,54,5,3,8,20,0,16,522,239,43,42,3,0,34
Cody Recreation Center 3-1,760,581,102,29,6,1,11,22,2,6,523,132,21,45,0,4,35
Cody Recreation Center 3-2,1076,808,169,42,5,3,9,27,0,13,728,217,31,54,0,0,46
Southfork Fire Hall 4-1,1169,926,174,26,14,2,7,12,0,8,781,228,33,74,3,0,50
Cody Recreation Center 4-2,222,179,20,6,8,0,1,5,1,2,144,31,16,24,1,0,6
Garland Community Church 6-1,508,409,46,20,4,0,4,19,0,6,350,70,16,63,1,1,7
Southfork Fire Hall 7-2,72,53,9,3,1,0,0,4,0,2,51,10,3,3,1,0,4
Meeteetse Senior Center 8-1,140,118,12,2,2,1,1,2,0,2,111,19,3,4,0,1,2
Meeteetse Senior Center 8-2,201,155,26,7,0,1,3,7,0,2,141,42,7,9,1,0,1
Meeteetse Senior Center 8-3,146,126,12,3,1,0,0,3,0,1,111,23,3,4,0,0,5
Powell Fairgrounds 9-1,433,256,103,28,9,5,4,23,0,5,261,136,9,18,2,0,7
Powell Fairgrounds 9-2,328,226,65,16,2,1,3,11,0,4,196,92,6,25,0,0,9
Powell Fairgrounds 9-4,528,331,123,28,4,5,6,20,3,8,293,159,19,33,1,0,23
Powell Fairgrounds 9-5,493,338,85,21,4,4,2,28,0,11,316,116,5,42,0,0,14
Powell Fairgrounds 9-7,821,544,169,47,7,5,10,30,2,7,490,211,39,56,2,2,21
Powell Fairgrounds 10-1,507,399,60,14,9,1,0,18,0,6,344,90,11,45,1,1,15
Powell Fairgrounds 10-2,808,588,111,30,19,1,3,38,0,18,521,153,27,72,6,0,29
Park County Courthouse 11-2,73,53,15,1,0,0,1,2,0,1,47,16,0,8,0,0,2
Wapiti School House 16-1,655,430,166,23,2,3,6,22,0,3,389,194,22,26,3,0,21
Mountain View Club 21-1,664,529,71,13,6,4,9,18,1,13,445,114,22,57,1,3,22
Powell Fairgrounds  23-1,276,223,30,9,3,1,2,6,1,1,192,41,5,28,0,2,8
Cody Auditorium 24-1,739,505,138,41,5,4,14,22,2,8,401,191,35,77,2,1,32
Cody Auditorium 24-2,491,326,96,23,4,1,4,21,2,14,286,145,19,22,0,2,17
Cody Auditorium 24-3,231,152,50,7,3,1,5,9,0,4,132,66,10,12,0,0,11
Cody Auditorium 25-1,689,422,156,46,10,2,8,27,2,16,390,203,36,30,2,1,27
Cody Auditorium 25-2,461,322,94,18,0,2,9,11,0,5,293,125,7,17,2,0,17
Cody Auditorium 25-3,532,403,78,20,3,1,3,16,0,8,366,106,20,24,2,0,14
Total,"15,311","11,115","2,535",625,153,55,151,461,18,198,"9,746","3,451",511,"1,017",42,19,525
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
