,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes
"Wheatland Town One, FSB Conf. Ctr 1-1",346,259,55,16,3,2,1,4,1,5,224,72,11,26,2,0,11
"Wheatland Town Two, FSB Conf. Ctr 1-2",349,238,81,15,2,0,3,4,0,6,199,94,20,25,0,1,10
"Wheatland Town Three, FSB Conf. Ctr 1-3",586,420,93,34,14,3,6,15,0,1,362,149,17,42,1,1,14
"Wheatland Town Four, FSB Conf. Ctr 1-4",397,284,78,14,7,0,4,4,2,4,229,119,14,25,0,0,10
"Wheatland Rural, 4-H Building 1-6",547,435,69,18,11,0,4,3,1,6,354,120,19,41,0,0,13
"Guernsey, Guernsey Sunrise School 2-1",660,449,136,26,16,0,11,9,3,10,349,219,24,54,0,1,13
"Hartville, Guernsey Sunrise School 3-1",75,46,20,4,5,0,0,0,0,0,42,25,3,5,0,0,0
"Glendo West, Glendo Town Hall 6-1",234,182,28,8,7,0,2,5,0,2,153,54,3,19,0,1,4
"Glendo East, Glendo Town Hall 6-2",165,136,21,2,0,1,0,4,0,1,114,30,6,10,0,0,5
"Slater, Chugwater Community Center 9-1",79,62,9,2,0,0,0,5,0,1,55,16,0,6,0,0,2
"Chugwater, Chugwater Community Ctr 10-1",204,166,21,10,2,0,1,3,0,1,145,36,10,11,1,0,1
"Rock Lake, 4-H Building 12-1",577,479,57,13,12,0,3,8,0,5,407,112,14,32,0,0,12
"Sybille Creek, 4-H Building 20-1",361,281,51,18,3,0,1,5,0,2,239,81,10,22,0,1,8
Total,"4,580","3,437",719,180,82,6,36,69,7,44,"2,872","1,127",151,318,4,5,103
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
