,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes
Ed Hammer Inc. 1-1,525,375,85,32,2,4,10,10,0,7,329,137,22,21,1,0,15
Exhibit Hall 2-1,543,399,91,25,2,1,7,9,2,7,340,143,22,19,0,1,18
Exhibit Hall  2-2,433,251,127,26,1,1,8,12,0,7,215,175,14,18,1,0,10
Exhibit Hall 2-3,898,608,185,58,3,3,10,14,1,16,548,284,20,27,2,1,16
Exhibit Hall  2-4,693,451,148,52,6,0,12,17,1,6,404,227,22,21,4,0,15
Exhibit Hall  2-5,1129,734,284,47,2,3,14,30,0,15,673,372,30,26,4,0,24
Sheridan County Courthouse 3-2,374,171,138,40,3,0,8,11,0,3,163,178,21,8,0,0,4
Holy Name Church 3-3,298,200,69,11,1,0,6,7,0,4,164,104,13,11,1,0,5
The Rock Church 3-4,728,464,169,41,3,4,11,24,1,11,412,245,31,20,1,1,18
Calvary Baptist Church 3-5,814,557,176,36,5,1,3,15,2,19,490,265,14,22,1,0,22
Water Products Inc. 4-2,730,471,157,50,8,3,20,17,0,4,423,222,21,35,1,0,28
Holy Name Church 4-3,799,538,156,51,5,2,10,28,3,6,478,230,37,30,1,1,22
Holy Name Church 4-4,202,122,52,13,1,0,5,7,1,1,116,61,10,11,0,0,4
Tourist Information Center 5-1,168,125,30,8,1,0,2,1,0,1,115,34,4,3,0,0,12
Bethesda Worship 6-1,643,488,107,23,6,1,4,11,0,3,421,182,10,16,0,0,14
Beckton School House Building 7-1,312,227,56,14,3,1,4,4,0,3,196,90,3,11,1,1,10
Story Woman's Club 8-1,599,410,138,26,4,2,4,7,0,8,375,179,20,8,2,0,15
Powder River Community Center 9-1,51,47,3,0,0,0,1,0,0,0,36,7,3,4,0,0,1
Clearmont Town Hall 10-1,165,139,16,5,2,0,1,1,1,0,122,32,5,4,0,1,1
Bethesda Worship 11-1,785,591,130,23,3,1,7,23,0,7,495,231,20,23,2,0,14
Big Horn Women's Club 12-1,1407,1020,283,44,2,1,3,32,1,21,934,365,34,36,7,2,29
Exhibit Hall 13-1,455,342,78,20,0,0,1,9,0,5,310,117,5,13,0,1,9
Wyarno Fire Hall 16-1,256,224,24,4,0,1,0,3,0,0,189,54,5,5,0,0,3
Ranchester Town Hall 17-1,413,334,43,18,3,0,0,10,0,5,282,77,13,22,0,0,19
Ranchester Town Hall 17-2,305,228,49,12,1,1,3,7,1,3,208,80,4,2,0,1,10
Ranchester Town Hall 18-1,68,55,9,4,0,0,0,0,0,0,42,18,5,2,0,0,1
Prarie Dog Community Center 19-1,281,217,40,11,3,0,0,7,1,2,187,73,8,7,0,1,5
Dayton Town Hall 20-1,476,362,63,26,6,1,2,4,0,12,306,127,12,18,1,1,11
Dayton Town Hall 20-2,151,116,21,9,0,1,2,2,0,0,106,34,3,6,1,0,1
Total,"14,701","10,266","2,927",729,76,32,158,322,15,176,"9,079","4,343",431,449,31,12,356
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
