,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes,,,,
Granger Town Hall 1-1,84,74,4,3,0,0,0,3,0,0,55,17,2,6,1,0,3,,,,
RS 1st United Meth. Church 3-2,"1,163",778,265,50,3,6,9,29,0,23,576,509,28,16,6,4,24,,,,
RS 1st United Meth. Church 3-3,306,210,54,22,0,1,3,7,0,9,146,142,5,6,1,0,6, ,,,
RS Civic Center 3-4,141,100,31,4,0,2,3,1,0,0,61,69,5,4,0,0,2,,,,
RS SWC HHS Building 3-5,338,211,81,29,2,2,3,7,0,3,139,162,18,15,0,0,4,,,,
S SWC HHS Building 4-1,467,285,120,32,4,3,8,11,1,3,207,221,17,11,1,0,10,,,,
RS White Mountain Library 4-2,426,285,84,23,9,0,3,18,0,4,219,167,10,22,0,0,8,,,,
RS SWC HHS Building 4-3,335,244,60,15,1,1,1,8,0,5,189,117,9,10,2,1,7,,,,
RS 1st Congregation Church 4-4,851,570,182,51,7,3,6,15,0,17,423,364,29,20,0,1,14,,,,
RS Western WY College 5-1,209,139,48,13,0,2,3,4,0,0,111,75,12,4,1,2,4,,,,
RS Western WY College 5-2,"1,554","1,114",263,84,13,5,13,57,1,4,813,594,42,52,6,4,43,,,,
RS School Admin. Bldg. 5-3,902,646,164,43,6,5,7,19,0,12,467,361,20,24,3,4,23,,,,
RS School Admin. Bldg. 5-4,609,445,113,28,1,2,2,13,0,5,306,277,16,2,0,1,7,,,,
RS White Mntn. Library 5-5,453,345,65,20,4,8,5,5,0,1,246,162,15,14,1,2,13,,,,
RS Civic Center 6-1,547,345,135,34,5,3,4,16,1,4,266,234,10,23,2,1,11,,,,
RS Co. Events Complex  6-2,546,385,99,30,4,0,10,9,3,6,264,242,14,12,0,2,12,,,,
RS Western WY College 6-3,360,259,65,17,3,0,2,13,0,1,213,121,6,12,1,1,6,,,,
RS Co. Events Complex 6-4,221,172,30,10,1,2,1,5,0,0,105,90,6,5,4,1,10,,,,
RS Co. Events Complex 7-1,869,705,98,36,3,3,6,13,0,5,514,296,17,27,0,1,14,,,,
RS Co. Events Complex 7-2,214,189,12,9,0,0,0,3,0,1,148,49,6,5,0,2,4,,,,
Jamestown K-Motive Bldg 9-1,202,159,23,11,1,0,3,4,0,1,113,68,8,3,1,0,9,,,,
Jamestown K-Motive Bldg 9-2,68,51,8,5,0,0,0,4,0,0,44,18,3,1,0,0,2,,,,
GR Sweetwater Co. Library 10-1,636,389,159,44,3,1,15,19,2,4,318,259,22,20,1,1,15,,,,
GR Catholic Church 10-2,273,161,72,16,5,1,3,13,2,0,118,125,8,14,0,3,5,,,,
GR Catholic Church 10-3,699,475,139,43,9,0,0,26,0,7,396,239,23,19,1,5,16,,,,
GR Recreation Center 10-4,1951,1339,370,119,22,6,14,58,4,19,1108,664,68,67,3,8,33,,,,
GR Mansface Church 10-5,505,339,103,28,8,2,4,12,0,9,277,177,20,16,3,0,12,,,,
GR Catholic Church 10-6,714,447,164,46,7,0,11,32,0,7,363,268,19,39,2,2,21,,,,
GR Mansface Church 10-7,582,396,121,22,3,4,6,24,0,6,319,211,26,18,1,1,6,,,,
Reliance Fire Station 12-1,243,184,38,14,0,1,3,3,0,0,141,81,9,3,0,2,7,,,,
Washam; Slagowski Res 13-1,33,26,4,2,1,0,0,0,0,0,25,5,1,2,0,0,0,,,,
Superior Admin. Building 19-1,148,114,18,8,0,1,3,4,0,0,84,47,9,3,0,1,4,,,,
Farson Community Hall 20-1,345,307,15,12,0,0,1,7,0,3,242,56,10,21,4,0,12,,,,
Point of Rocks; Varley Res 21-1,36,25,8,0,0,0,0,0,0,3,14,16,0,2,0,0,4,,,,
Wamsutter Town Hall 23-1,124,97,13,4,3,1,0,4,0,2,81,22,6,7,0,1,7,,,,
McKinnon School Building 24-1,95,88,1,1,0,0,0,4,0,1,75,8,1,10,0,0,1,,,,
Bairoil Town Hall 25-1,60,56,2,0,2,0,0,0,0,0,48,3,4,5,0,0,0,,,,
Total,"17,309","12,154","3,231",928,130,65,152,470,14,165,"9,234","6,536",524,540,45,51,379,,,,
,,,,,,,,,,,,,,,,,,,,,
