,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes
South of Jackson 1-1,"1,206",443,610,71,3,3,11,42,0,23,507,605,44,15,2,1,32
Mid-East Jackson 1-2,"1,004",220,646,73,1,4,18,34,0,8,260,657,48,15,0,1,23
Skyline/Hicountry/GV Butte/Elk Refuge  1-3,546,195,287,23,3,1,7,20,1,9,244,268,10,13,0,1,10
North Jackson 1-4,211,71,105,14,2,0,2,10,0,7,74,113,6,6,1,1,10
Mid-West Jackson 1-5,"1,072",246,680,64,4,2,19,46,1,10,263,705,43,17,3,1,40
Cottonwood Park 1-6,840,242,509,43,3,1,12,22,0,8,257,510,34,13,1,1,24
Rafter J 1-7,744,179,482,33,1,1,4,36,0,8,207,494,18,3,4,2,16
East Jackson 1-8,944,234,597,50,2,3,14,33,0,11,268,597,31,14,1,1,32
West Jackson 1-9,907,211,598,56,5,2,8,17,1,9,207,614,38,17,4,1,26
South Hoback 1-10,812,418,293,45,6,2,11,28,0,9,406,326,34,21,0,2,23
Indian Trails 1-11,153,39,96,10,0,2,1,3,0,2,53,97,2,0,0,1,0
Kelly/Moose/Airport/Teton Valley/Highlands 2-1,984,406,470,50,1,0,13,29,0,15,456,474,24,7,3,1,19
Moran/YNP 3-1,342,126,165,22,4,0,8,14,0,3,133,178,20,4,1,0,6
Wilson South 4-1,689,186,426,27,1,1,13,25,0,10,213,435,18,6,0,0,17
Moose/Wilson Road 4-2,1079,339,627,49,2,3,12,31,1,15,420,594,22,7,0,3,33
Wilson North 4-3,615,109,437,28,0,1,10,27,0,3,141,444,12,5,2,0,11
Teton Village  4-4,333,105,167,25,4,1,3,15,2,11,138,174,9,2,1,0,9
Alta  5-1,314,152,119,18,1,0,6,17,0,1,142,132,12,5,11,0,12
Total,"12,795","3,921","7,314",701,43,27,172,449,6,162,"4,389","7,417",425,170,34,17,343
