,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes
The Machine Shop 1-1," 1,657 "," 1,060 ", 306 , 119 , 29 ,7, 27 , 91 ,2, 16 ," 1,035 ", 405 , 64 , 86 ,4,2, 61 
The Machine Shop 1-2," 1,742 "," 1,247 ", 277 , 97 , 12 ,3, 13 , 75 ,1, 17 ," 1,184 ", 385 , 57 , 70 ,2,1, 43 
Roundhouse 1-3, 734 , 494 , 122 , 50 , 12 ,3, 6 , 37 ,5, 5 , 467 , 162 , 47 , 45 ,1,2, 10 
Roundhouse 1-4, 362 , 225 , 91 , 26 , 4 ,1, 3 , 9 ,0, 3 , 206 , 106 , 17 , 17 ,2,0, 14 
Evanston Library 2-1, 866 , 664 , 86 , 39 , 16 ,4, 4 , 45 ,1, 7 , 669 , 127 , 22 , 36 ,3,0, 9 
Bear River Town Hall 2-2, 274 , 207 , 35 , 12 , 2 ,0, 5 , 10 ,0, 3 , 187 , 51 , 15 , 14 ,0,0, 7 
Lyman Town Hall Chambers 3-1, 888 , 679 , 100 , 22 , 9 ,4, 6 , 54 ,3, 11 , 564 , 184 , 28 , 70 ,4,0, 38 
Lyman Library 3-2, 553 , 438 , 33 , 28 , 12 ,2, 1 , 28 ,2, 9 , 384 , 97 , 21 , 33 ,2,0, 16 
Mt. View School Administration Building 4-1, 906 , 695 , 105 , 40 , 8 ,2, 7 , 37 ,0, 12 , 599 , 200 , 30 , 43 ,1,2, 31 
Mt. View Town Hall 4-2, 588 , 445 , 47 , 39 , 12 ,4, 7 , 31 ,0, 3 , 391 , 109 , 24 , 47 ,0,1, 16 
Total," 8,570 "," 6,154 "," 1,202 ", 472 , 116 , 30 , 79 , 417 , 14 , 86 ," 5,686 "," 1,826 ", 325 , 461 , 19 , 8 , 245 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
