,STATEFP20,COUNTYFP20,VTDST20,NAME20,G18USSRBAR_x,G18USSDTRA_x,G18USSLPOR_x,G18USSOWRI_x,G18HALRCHE_x,G18HALDHUN_x,G18HALLBRU_x,G18HALCCUM_x,G18HALOWRI_x,G18GOVRGOR_x,G18GOVDTHR_x,G18GOVLSTR_x,G18GOVCRAM_x,G18GOVOWRI_x,G18SOSRBUC_x,G18SOSDBYR_x,G18SOSLCAR_x,G18SOSOWRI_x,G18AUDRRAC_x,G18AUDDDOC_x,G18AUDOWRI_x,G18TRERMEI_x,G18TREDLOW_x,G18TREOWRI_x,G18SPIRBAL_x,G18SPIOWRI_x,geometry,join_col,Precinct,G18USSRBAR_y,G18USSDTRA_y,G18USSLPOR_y,G18USSOWRI_y,G18HALRCHE_y,G18HALDHUN_y,G18HALLBRU_y,G18HALCCUM_y,G18HALOWRI_y,G18GOVRGOR_y,G18GOVDTHR_y,G18GOVLSTR_y,G18GOVCRAM_y,G18GOVOWRI_y,G18SOSRBUC_y,G18SOSDBYR_y,G18SOSLCAR_y,G18SOSOWRI_y,G18AUDRRAC_y,G18AUDDDOC_y,G18AUDOWRI_y,G18TRERMEI_y,G18TREDLOW_y,G18TREOWRI_y,G18SPIRBAL_y,G18SPIOWRI_y,County,_merge
483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-Shields Street. Aux. Gym (Old H.S.) 13-1,Shields Street. Aux. Gym (Old H.S.) 13-1,587.0,821.0,56.0,4.0,541.0,788.0,80.0,45.0,4.0,607.0,768.0,43.0,39.0,10.0,626.0,710.0,91.0,1.0,688.0,714.0,3.0,694.0,729.0,3.0,1044.0,56.0,001,right_only
484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-Shields Street. Aux. Gym (Old H.S.) 13-2,Shields Street. Aux. Gym (Old H.S.) 13-2,89.0,277.0,11.0,2.0,79.0,272.0,18.0,6.0,2.0,107.0,250.0,10.0,10.0,1.0,106.0,237.0,20.0,0.0,132.0,226.0,0.0,128.0,232.0,0.0,239.0,22.0,001,right_only
485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-Spring Creek Elementary School 13-3,Spring Creek Elementary School 13-3,409.0,936.0,49.0,3.0,368.0,927.0,57.0,26.0,8.0,437.0,879.0,47.0,26.0,5.0,432.0,845.0,67.0,2.0,546.0,767.0,2.0,500.0,833.0,2.0,883.0,68.0,001,right_only
486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-National Guard Armory 14-1,National Guard Armory 14-1,1300.0,1580.0,68.0,2.0,1212.0,1555.0,112.0,40.0,7.0,1338.0,1489.0,70.0,39.0,14.0,1352.0,1357.0,130.0,1.0,1468.0,1314.0,4.0,1456.0,1383.0,2.0,2154.0,139.0,001,right_only
487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-Laramie Peak Fire Hall 14-11,Laramie Peak Fire Hall 14-11,370.0,172.0,11.0,1.0,349.0,175.0,14.0,12.0,0.0,359.0,162.0,8.0,20.0,6.0,383.0,150.0,11.0,0.0,391.0,145.0,0.0,397.0,149.0,0.0,449.0,13.0,001,right_only
488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-Linford Elementary School 45-1,Linford Elementary School 45-1,822.0,619.0,53.0,8.0,742.0,626.0,72.0,50.0,6.0,810.0,596.0,39.0,41.0,11.0,847.0,549.0,70.0,2.0,891.0,549.0,1.0,887.0,570.0,4.0,1158.0,50.0,001,right_only
489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-Lincoln Community Center 45-2,Lincoln Community Center 45-2,433.0,1102.0,64.0,5.0,379.0,1100.0,69.0,36.0,9.0,463.0,1034.0,53.0,48.0,5.0,468.0,984.0,90.0,2.0,580.0,928.0,1.0,536.0,987.0,1.0,994.0,71.0,001,right_only
490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-New Laramie High School 46-1,New Laramie High School 46-1,355.0,554.0,29.0,1.0,333.0,544.0,42.0,10.0,4.0,370.0,518.0,29.0,19.0,3.0,392.0,473.0,47.0,1.0,440.0,455.0,0.0,442.0,472.0,0.0,644.0,42.0,001,right_only
491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-New Laramie High School 46-2,New Laramie High School 46-2,504.0,751.0,31.0,4.0,456.0,749.0,49.0,21.0,4.0,523.0,712.0,26.0,20.0,7.0,543.0,665.0,49.0,0.0,603.0,635.0,0.0,576.0,673.0,1.0,891.0,65.0,001,right_only
492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-Albany County Fairgrounds 46-11,Albany County Fairgrounds 46-11,1005.0,554.0,43.0,3.0,941.0,557.0,63.0,34.0,4.0,983.0,532.0,37.0,49.0,9.0,1035.0,481.0,59.0,4.0,1083.0,468.0,2.0,1080.0,491.0,3.0,1261.0,42.0,001,right_only
